"source","target","weight"
575,1,1
607,1,1
814,1,1
996,1,1
998,1,1
1022,1,1
24,2,1
395,2,1
522,2,1
692,2,1
710,2,1
853,2,1
1002,2,1
278,4,1
420,4,1
692,4,1
721,4,1
1209,4,1
417,6,1
513,6,1
646,6,1
9,7,1
111,7,1
212,7,1
274,7,1
413,7,1
547,7,1
742,7,1
7,9,1
66,9,1
111,9,1
432,9,1
608,9,1
630,9,1
687,9,1
697,9,1
742,9,1
978,9,1
104,11,1
286,11,1
322,11,1
494,11,1
978,11,1
80,12,1
146,12,1
949,12,1
223,13,1
224,14,1
548,14,1
779,14,1
909,14,1
949,14,1
1000,14,1
276,15,1
550,15,1
605,15,1
816,15,1
917,15,1
918,15,1
858,16,1
210,18,1
723,18,1
769,18,1
186,19,1
228,19,1
210,20,1
400,20,1
753,20,1
889,20,1
45,21,1
68,21,1
135,21,1
449,21,1
557,21,1
826,21,1
841,21,1
182,22,1
220,22,1
406,22,1
453,22,1
705,22,1
778,22,1
853,22,1
41,23,1
114,23,1
185,23,1
296,23,1
351,23,1
489,23,1
774,23,1
819,23,1
834,23,1
1032,23,1
154,24,1
84,25,1
541,25,1
52,26,1
53,26,1
260,26,1
363,26,1
531,26,1
570,26,1
661,26,1
858,26,1
922,26,1
969,26,1
978,26,1
119,27,1
528,27,1
626,27,1
714,27,1
782,27,1
5,28,1
26,28,1
363,28,1
498,28,1
131,29,1
321,29,1
728,29,1
973,29,1
32,30,1
720,30,1
740,31,1
795,31,1
811,31,1
994,31,1
419,32,1
243,33,1
462,33,1
726,33,1
848,33,1
1334,33,1
118,34,1
804,34,1
677,35,1
688,35,1
293,36,1
346,36,1
797,36,1
970,36,1
153,37,1
311,37,1
368,39,1
501,39,1
245,40,1
276,40,1
641,40,1
652,40,1
1021,40,1
247,41,1
775,41,1
121,42,1
154,42,1
1192,42,1
425,43,1
597,43,1
880,43,1
75,44,1
448,44,1
585,44,1
829,44,1
49,46,1
990,46,1
195,47,1
317,47,1
609,47,1
851,47,1
1002,47,1
210,48,1
333,48,1
919,48,1
969,48,1
980,48,1
1024,48,1
172,49,1
785,49,1
880,49,1
987,49,1
147,50,1
321,50,1
752,50,1
883,50,1
120,51,1
365,51,1
697,51,1
26,52,1
332,52,1
467,52,1
693,52,1
26,53,1
260,53,1
281,53,1
332,53,1
467,53,1
490,53,1
674,53,1
285,54,1
580,54,1
596,54,1
913,54,1
173,55,1
175,55,1
354,55,1
356,55,1
378,55,1
579,55,1
786,55,1
860,55,1
89,56,1
401,56,1
541,56,1
854,56,1
1009,56,1
1022,56,1
1051,56,1
565,58,1
290,59,1
279,60,1
726,60,1
767,60,1
902,60,1
187,61,1
213,61,1
480,61,1
489,61,1
506,61,1
559,61,1
584,61,1
168,62,1
199,62,1
230,62,1
307,62,1
349,62,1
399,62,1
998,62,1
171,64,1
1006,64,1
471,65,1
609,65,1
9,66,1
111,66,1
446,66,1
120,67,1
289,67,1
291,67,1
363,67,1
858,67,1
987,67,1
1050,67,1
254,68,1
469,68,1
67,69,1
119,69,1
176,69,1
289,69,1
593,69,1
629,69,1
794,69,1
921,69,1
364,71,1
509,71,1
572,71,1
627,71,1
811,71,1
994,71,1
209,72,1
255,72,1
508,72,1
744,72,1
770,72,1
52,73,1
731,73,1
135,74,1
492,74,1
586,74,1
1205,74,1
44,75,1
122,75,1
448,75,1
585,75,1
691,75,1
727,75,1
828,75,1
829,75,1
931,75,1
152,76,1
796,76,1
674,77,1
768,77,1
806,79,1
822,79,1
1051,81,1
321,82,1
519,82,1
689,82,1
930,82,1
944,82,1
35,84,1
118,84,1
848,84,1
490,85,1
492,85,1
674,85,1
1247,85,1
225,86,1
481,87,1
530,87,1
56,89,1
192,89,1
717,89,1
931,89,1
1009,89,1
688,90,1
50,91,1
200,91,1
336,91,1
522,91,1
600,91,1
640,91,1
683,91,1
871,91,1
440,92,1
658,92,1
948,93,1
239,94,1
390,94,1
401,94,1
200,95,1
389,96,1
1019,96,1
579,97,1
731,97,1
85,98,1
86,98,1
422,98,1
659,98,1
762,98,1
876,98,1
108,99,1
230,99,1
313,99,1
347,99,1
365,99,1
446,99,1
845,99,1
918,99,1
966,99,1
904,100,1
912,100,1
57,101,1
68,101,1
691,101,1
901,101,1
269,103,1
773,103,1
1010,103,1
800,104,1
1029,104,1
392,105,1
647,105,1
643,106,1
225,108,1
313,108,1
330,109,1
483,109,1
503,109,1
534,109,1
984,109,1
1033,109,1
1060,109,1
312,110,1
1054,110,1
9,111,1
66,111,1
119,111,1
434,111,1
371,112,1
916,112,1
429,113,1
985,113,1
23,114,1
457,114,1
576,114,1
774,114,1
932,115,1
1052,115,1
1258,115,1
194,116,1
629,116,1
672,116,1
802,116,1
908,116,1
37,117,1
153,117,1
428,117,1
451,117,1
472,117,1
519,117,1
703,117,1
744,117,1
894,117,1
631,118,1
972,118,1
363,120,1
981,120,1
1050,120,1
42,121,1
154,121,1
989,121,1
128,122,1
192,122,1
511,122,1
550,122,1
691,122,1
1132,122,1
775,123,1
975,123,1
226,125,1
852,125,1
27,126,1
679,126,1
325,127,1
540,127,1
192,128,1
588,129,1
791,129,1
183,130,1
757,130,1
29,131,1
117,131,1
319,131,1
321,131,1
451,131,1
508,131,1
883,131,1
930,131,1
219,132,1
347,132,1
741,132,1
845,132,1
322,133,1
681,134,1
926,134,1
45,135,1
74,135,1
492,135,1
498,135,1
586,135,1
592,135,1
594,135,1
665,135,1
1205,135,1
341,136,1
436,137,1
667,137,1
1058,137,1
264,138,1
550,138,1
1002,138,1
84,139,1
212,139,1
243,139,1
1194,139,1
6,140,1
340,140,1
1045,140,1
1054,140,1
178,141,1
905,141,1
1045,141,1
405,142,1
560,142,1
878,142,1
791,143,1
836,143,1
902,143,1
927,144,1
22,145,1
55,145,1
170,145,1
220,145,1
340,145,1
12,146,1
949,146,1
162,147,1
705,147,1
746,147,1
55,148,1
198,148,1
557,148,1
917,148,1
1046,148,1
533,149,1
741,149,1
968,149,1
565,150,1
633,150,1
383,151,1
460,151,1
76,152,1
553,152,1
37,153,1
117,153,1
447,153,1
519,153,1
671,155,1
871,155,1
463,156,1
782,156,1
11,157,1
296,157,1
465,157,1
524,157,1
668,157,1
819,157,1
834,157,1
1014,157,1
822,158,1
967,158,1
165,159,1
300,159,1
423,159,1
696,159,1
899,159,1
1021,159,1
169,161,1
344,161,1
172,162,1
281,163,1
365,163,1
377,163,1
446,163,1
534,163,1
626,163,1
855,163,1
1050,163,1
166,164,1
968,164,1
538,165,1
717,165,1
854,165,1
112,166,1
456,166,1
307,168,1
417,168,1
427,168,1
554,168,1
620,168,1
689,168,1
924,168,1
1053,168,1
161,169,1
215,169,1
309,169,1
344,169,1
1031,169,1
22,170,1
409,170,1
453,170,1
866,170,1
16,171,1
190,171,1
358,171,1
49,172,1
162,172,1
662,172,1
728,172,1
275,173,1
522,173,1
704,173,1
786,173,1
860,173,1
19,174,1
76,174,1
228,174,1
750,174,1
281,175,1
332,175,1
939,175,1
272,177,1
539,177,1
640,177,1
653,177,1
924,177,1
141,178,1
324,178,1
399,178,1
905,178,1
916,178,1
255,179,1
407,179,1
415,179,1
578,179,1
824,179,1
963,179,1
997,179,1
306,180,1
583,180,1
902,180,1
920,181,1
63,182,1
152,182,1
220,182,1
453,182,1
778,182,1
65,183,1
142,184,1
769,184,1
23,185,1
819,185,1
834,185,1
856,185,1
882,185,1
1017,185,1
19,186,1
228,186,1
450,186,1
662,186,1
335,187,1
454,187,1
720,187,1
71,188,1
509,188,1
552,188,1
561,188,1
572,188,1
627,188,1
1028,188,1
218,189,1
623,189,1
348,190,1
686,190,1
802,190,1
135,191,1
335,191,1
605,191,1
656,191,1
665,191,1
44,192,1
89,192,1
103,192,1
128,192,1
585,192,1
711,193,1
790,193,1
116,194,1
405,194,1
769,194,1
908,194,1
515,195,1
708,195,1
818,195,1
516,196,1
194,197,1
202,197,1
243,197,1
590,197,1
708,197,1
848,197,1
1194,197,1
557,198,1
752,198,1
777,198,1
938,198,1
1046,198,1
417,199,1
578,199,1
764,199,1
91,200,1
206,200,1
242,200,1
249,200,1
444,200,1
600,200,1
871,200,1
960,200,1
65,201,1
158,201,1
338,201,1
471,201,1
641,201,1
742,201,1
761,201,1
787,201,1
822,201,1
961,201,1
8,202,1
527,202,1
848,202,1
155,204,1
242,204,1
328,204,1
402,204,1
520,204,1
542,204,1
636,204,1
664,204,1
173,206,1
249,206,1
319,206,1
349,206,1
352,206,1
464,206,1
647,207,1
772,207,1
670,208,1
72,209,1
442,209,1
508,209,1
519,209,1
642,209,1
667,209,1
744,209,1
770,209,1
866,209,1
20,210,1
522,210,1
592,210,1
860,210,1
865,210,1
852,211,1
546,212,1
852,212,1
107,213,1
720,213,1
917,213,1
852,214,1
592,215,1
609,217,1
189,218,1
713,218,1
132,219,1
292,219,1
347,219,1
668,219,1
874,219,1
22,220,1
182,220,1
321,220,1
396,220,1
705,220,1
778,220,1
63,221,1
359,221,1
449,221,1
453,221,1
775,221,1
796,221,1
945,221,1
13,223,1
1060,223,1
909,224,1
1000,224,1
535,225,1
125,226,1
467,226,1
972,226,1
478,227,1
526,227,1
19,228,1
186,228,1
912,229,1
416,230,1
918,230,1
966,230,1
1030,231,1
957,232,1
420,233,1
1020,233,1
1027,233,1
1030,233,1
429,234,1
998,234,1
898,236,1
958,236,1
291,238,1
325,238,1
540,238,1
94,239,1
121,239,1
695,239,1
83,241,1
402,242,1
197,243,1
741,243,1
804,243,1
105,244,1
929,244,1
40,245,1
579,245,1
641,245,1
917,245,1
681,247,1
985,247,1
117,249,1
206,249,1
349,249,1
417,249,1
444,249,1
997,249,1
266,251,1
893,251,1
47,252,1
128,252,1
448,252,1
479,253,1
844,253,1
911,253,1
944,253,1
68,254,1
579,254,1
732,254,1
843,254,1
849,254,1
850,254,1
30,255,1
986,255,1
989,255,1
556,256,1
536,258,1
130,259,1
345,259,1
517,259,1
990,259,1
52,260,1
53,260,1
434,260,1
546,260,1
928,260,1
988,260,1
556,261,1
574,261,1
632,261,1
698,261,1
937,261,1
816,262,1
656,263,1
437,264,1
850,264,1
851,264,1
11,265,1
104,265,1
286,265,1
603,265,1
659,265,1
716,265,1
834,265,1
918,265,1
1244,265,1
251,266,1
322,266,1
893,266,1
989,266,1
738,267,1
1034,267,1
43,268,1
346,268,1
413,268,1
608,268,1
797,268,1
969,268,1
981,268,1
897,269,1
145,270,1
304,270,1
466,270,1
669,270,1
781,270,1
1011,270,1
495,271,1
544,271,1
729,271,1
862,271,1
177,272,1
461,272,1
539,272,1
91,273,1
240,273,1
242,273,1
402,273,1
520,273,1
542,273,1
636,273,1
664,273,1
924,273,1
992,273,1
212,274,1
546,274,1
880,274,1
665,275,1
40,276,1
641,276,1
410,277,1
589,277,1
60,279,1
912,279,1
53,281,1
136,281,1
467,281,1
674,281,1
32,282,1
187,282,1
213,282,1
559,282,1
768,282,1
1021,282,1
18,284,1
495,284,1
723,284,1
797,284,1
957,284,1
54,285,1
596,285,1
219,286,1
593,286,1
629,286,1
741,286,1
856,286,1
392,287,1
420,287,1
1038,287,1
3,289,1
67,289,1
69,289,1
363,289,1
365,289,1
581,289,1
858,289,1
379,290,1
386,290,1
438,290,1
896,290,1
325,291,1
506,291,1
540,291,1
916,291,1
219,292,1
369,292,1
370,292,1
268,293,1
531,293,1
547,293,1
553,293,1
749,293,1
349,294,1
396,294,1
428,294,1
746,294,1
775,294,1
788,294,1
925,294,1
953,294,1
357,295,1
465,296,1
856,296,1
243,298,1
568,298,1
896,298,1
159,300,1
215,300,1
326,300,1
368,300,1
742,300,1
429,301,1
955,301,1
69,302,1
175,302,1
391,302,1
497,302,1
794,302,1
799,302,1
353,303,1
443,303,1
6,304,1
123,304,1
270,304,1
307,304,1
380,304,1
415,304,1
417,304,1
502,304,1
554,304,1
862,304,1
316,305,1
479,305,1
183,306,1
672,306,1
1060,306,1
168,307,1
213,307,1
336,307,1
380,307,1
662,307,1
169,309,1
569,310,1
825,310,1
899,310,1
1005,310,1
37,311,1
406,311,1
92,312,1
110,312,1
108,313,1
731,314,1
1043,314,1
232,315,1
271,315,1
284,315,1
339,315,1
305,316,1
86,317,1
446,317,1
456,317,1
989,317,1
1057,317,1
119,318,1
29,319,1
131,319,1
451,319,1
519,319,1
703,319,1
706,319,1
930,319,1
210,320,1
541,320,1
796,320,1
973,321,1
11,322,1
306,322,1
387,322,1
574,322,1
543,323,1
399,324,1
825,324,1
64,325,1
229,325,1
291,325,1
87,326,1
158,326,1
159,326,1
368,326,1
822,326,1
79,327,1
208,327,1
276,327,1
410,327,1
426,327,1
735,327,1
1046,327,1
402,328,1
636,328,1
683,328,1
885,328,1
992,328,1
997,328,1
740,329,1
811,329,1
885,329,1
994,329,1
505,330,1
875,330,1
55,331,1
579,331,1
875,331,1
52,332,1
119,332,1
638,333,1
689,333,1
924,333,1
1053,333,1
267,334,1
738,334,1
1034,334,1
343,335,1
498,335,1
594,335,1
380,336,1
178,337,1
400,337,1
830,337,1
905,337,1
975,337,1
998,337,1
456,338,1
557,338,1
753,338,1
145,340,1
356,340,1
431,340,1
466,340,1
960,340,1
1295,340,1
52,341,1
64,341,1
136,341,1
522,341,1
570,341,1
928,341,1
335,343,1
498,343,1
1043,343,1
927,344,1
400,345,1
517,345,1
990,345,1
36,346,1
797,346,1
219,347,1
286,347,1
494,347,1
27,348,1
190,348,1
551,348,1
62,349,1
206,349,1
247,349,1
681,349,1
13,350,1
405,350,1
759,350,1
1043,350,1
23,351,1
185,351,1
489,351,1
795,351,1
811,351,1
819,351,1
834,351,1
856,351,1
885,351,1
473,352,1
589,352,1
723,352,1
960,352,1
136,353,1
236,353,1
303,353,1
605,353,1
691,353,1
1060,353,1
55,354,1
251,354,1
687,354,1
730,354,1
735,354,1
788,354,1
889,354,1
950,354,1
212,355,1
858,355,1
1024,355,1
440,357,1
614,357,1
767,357,1
952,357,1
50,358,1
116,358,1
194,358,1
221,359,1
354,359,1
449,359,1
27,360,1
528,360,1
782,360,1
149,361,1
795,361,1
898,361,1
958,361,1
991,361,1
1054,361,1
28,363,1
67,363,1
289,363,1
365,363,1
581,363,1
858,363,1
71,364,1
300,364,1
511,364,1
552,364,1
554,364,1
696,364,1
994,364,1
363,365,1
446,365,1
580,365,1
581,365,1
159,368,1
792,368,1
370,369,1
668,369,1
759,369,1
99,370,1
223,370,1
292,370,1
369,370,1
465,370,1
112,371,1
369,371,1
426,371,1
741,371,1
845,371,1
913,371,1
574,372,1
651,372,1
795,372,1
845,372,1
847,372,1
52,373,1
66,373,1
120,373,1
226,373,1
260,373,1
488,373,1
611,373,1
969,373,1
1047,373,1
1297,373,1
134,374,1
681,374,1
780,374,1
926,374,1
382,375,1
659,375,1
756,375,1
