"source","target","weight"
315,1,1
338,1,1
717,1,1
766,1,1
940,1,1
646,7,1
924,7,1
124,8,1
491,8,1
1005,9,1
360,11,1
98,12,1
994,12,1
295,13,1
247,14,1
437,14,1
735,14,1
462,15,1
864,15,1
348,16,1
745,16,1
800,16,1
1073,16,1
13,17,1
418,17,1
445,18,1
717,18,1
31,19,1
700,19,1
147,20,1
581,21,1
1056,21,1
347,22,1
582,23,1
257,24,1
582,25,1
384,26,1
143,27,1
36,28,1
184,29,1
686,29,1
823,29,1
1089,29,1
52,30,1
143,30,1
267,30,1
477,30,1
544,30,1
674,30,1
776,30,1
1090,30,1
29,31,1
152,31,1
686,31,1
698,31,1
777,31,1
1076,31,1
451,32,1
674,32,1
938,32,1
1040,32,1
1090,32,1
1018,33,1
252,34,1
313,34,1
378,34,1
489,34,1
497,34,1
549,34,1
585,34,1
595,34,1
636,34,1
723,34,1
942,34,1
943,34,1
1030,34,1
29,35,1
942,35,1
961,35,1
1014,35,1
28,36,1
205,38,1
621,38,1
929,38,1
931,38,1
957,38,1
979,38,1
222,39,1
328,39,1
714,39,1
804,39,1
898,39,1
974,39,1
1041,39,1
62,40,1
574,40,1
587,40,1
596,40,1
894,40,1
416,41,1
553,41,1
578,41,1
919,41,1
946,41,1
614,43,1
792,43,1
947,43,1
189,44,1
263,44,1
388,44,1
393,44,1
444,44,1
471,44,1
528,44,1
532,44,1
392,46,1
415,46,1
1062,46,1
236,47,1
268,47,1
357,47,1
436,47,1
508,47,1
704,47,1
749,47,1
769,47,1
49,48,1
386,48,1
689,48,1
723,48,1
1065,48,1
1007,49,1
601,51,1
714,51,1
199,52,1
684,52,1
939,52,1
963,52,1
1096,52,1
60,53,1
201,53,1
282,53,1
430,53,1
888,53,1
927,53,1
966,53,1
1006,53,1
368,54,1
252,55,1
608,55,1
750,55,1
777,55,1
822,55,1
205,56,1
861,57,1
318,58,1
911,58,1
65,59,1
81,59,1
143,59,1
237,59,1
262,59,1
264,59,1
338,59,1
452,59,1
752,59,1
820,59,1
611,60,1
862,60,1
1006,60,1
535,61,1
40,62,1
603,63,1
677,65,1
1086,65,1
296,66,1
495,67,1
812,67,1
52,68,1
161,68,1
794,68,1
807,68,1
910,68,1
960,68,1
1097,68,1
420,69,1
928,69,1
140,70,1
541,70,1
925,70,1
1048,70,1
85,71,1
626,71,1
877,71,1
635,72,1
960,72,1
880,74,1
189,75,1
452,75,1
868,75,1
935,75,1
988,75,1
1012,75,1
459,76,1
71,77,1
73,77,1
363,77,1
626,77,1
825,77,1
316,78,1
320,78,1
640,78,1
830,78,1
1032,78,1
1085,78,1
122,79,1
160,79,1
344,79,1
367,79,1
884,79,1
1030,79,1
59,81,1
143,81,1
264,81,1
752,81,1
149,82,1
198,82,1
339,82,1
806,82,1
822,82,1
886,82,1
983,82,1
1011,82,1
1044,82,1
169,83,1
502,83,1
71,85,1
626,85,1
913,85,1
965,85,1
441,86,1
726,86,1
189,87,1
334,87,1
627,87,1
405,88,1
943,88,1
1095,89,1
500,90,1
867,90,1
944,90,1
1019,90,1
1062,90,1
117,91,1
208,93,1
421,93,1
419,94,1
841,95,1
1059,95,1
177,96,1
659,96,1
854,96,1
873,96,1
982,96,1
98,97,1
165,97,1
614,97,1
1083,97,1
97,98,1
165,98,1
676,99,1
696,99,1
771,99,1
813,99,1
1076,99,1
1093,99,1
505,100,1
381,103,1
416,103,1
565,103,1
937,103,1
964,103,1
984,104,1
594,105,1
797,105,1
266,106,1
951,106,1
1053,106,1
126,107,1
320,107,1
343,107,1
362,107,1
724,107,1
129,108,1
1089,108,1
378,109,1
590,109,1
1041,109,1
131,110,1
247,110,1
374,110,1
521,110,1
643,110,1
735,110,1
614,112,1
212,113,1
224,113,1
1054,113,1
601,114,1
330,115,1
602,116,1
91,117,1
462,117,1
588,118,1
600,119,1
610,119,1
691,119,1
878,119,1
73,120,1
289,120,1
465,121,1
74,123,1
364,123,1
57,124,1
503,124,1
806,124,1
851,124,1
861,124,1
983,124,1
3,126,1
161,126,1
248,126,1
320,126,1
519,126,1
998,126,1
105,127,1
279,127,1
418,127,1
637,127,1
641,127,1
758,127,1
844,127,1
884,127,1
924,127,1
814,128,1
1089,129,1
219,130,1
344,130,1
369,130,1
706,130,1
1083,130,1
110,131,1
247,131,1
374,131,1
521,131,1
735,131,1
754,131,1
275,132,1
792,132,1
79,133,1
160,133,1
884,133,1
483,134,1
529,134,1
1021,134,1
444,135,1
477,135,1
840,135,1
860,136,1
355,138,1
726,138,1
1021,138,1
164,139,1
323,139,1
609,139,1
890,139,1
70,140,1
1020,140,1
970,142,1
986,142,1
1058,142,1
752,143,1
803,143,1
854,143,1
1021,143,1
518,144,1
374,145,1
545,145,1
948,145,1
315,146,1
777,146,1
890,146,1
990,146,1
20,147,1
374,147,1
156,148,1
607,148,1
1006,148,1
82,149,1
415,149,1
220,150,1
694,150,1
31,152,1
610,152,1
823,152,1
11,153,1
427,153,1
615,153,1
644,153,1
948,153,1
1033,153,1
166,154,1
383,154,1
411,154,1
768,154,1
1102,154,1
148,156,1
499,156,1
862,156,1
1006,156,1
804,157,1
76,158,1
682,158,1
100,159,1
251,159,1
391,159,1
410,159,1
642,159,1
697,159,1
722,159,1
791,159,1
963,159,1
988,159,1
1054,159,1
367,160,1
718,160,1
126,161,1
320,161,1
365,161,1
95,162,1
166,163,1
510,164,1
582,164,1
939,164,1
1096,164,1
97,165,1
98,167,1
725,167,1
622,168,1
921,168,1
185,169,1
378,169,1
502,169,1
713,169,1
11,171,1
360,171,1
885,171,1
905,171,1
466,172,1
506,172,1
243,173,1
1014,174,1
249,175,1
309,175,1
857,175,1
74,176,1
421,176,1
812,176,1
874,176,1
96,177,1
422,178,1
742,179,1
545,180,1
964,180,1
229,181,1
251,181,1
505,181,1
563,181,1
574,181,1
596,181,1
672,181,1
829,182,1
563,183,1
716,183,1
817,183,1
949,183,1
521,186,1
1058,186,1
298,187,1
482,187,1
687,187,1
694,187,1
711,187,1
905,187,1
1045,187,1
214,189,1
334,189,1
627,189,1
680,189,1
693,189,1
854,189,1
327,190,1
456,190,1
587,190,1
