"source","target","weight"
70,2,1
259,2,1
610,2,1
45,3,1
56,3,1
59,3,1
138,3,1
276,3,1
328,3,1
365,3,1
420,3,1
426,3,1
500,3,1
546,3,1
552,3,1
571,3,1
590,3,1
238,4,1
312,4,1
336,4,1
338,4,1
351,4,1
404,4,1
480,4,1
525,4,1
609,4,1
7,5,1
87,5,1
134,5,1
448,5,1
452,5,1
459,5,1
513,5,1
605,5,1
351,6,1
535,6,1
5,7,1
43,7,1
64,7,1
116,7,1
246,7,1
305,7,1
383,7,1
447,7,1
492,7,1
545,7,1
194,8,1
205,8,1
407,8,1
463,9,1
510,9,1
527,9,1
86,10,1
204,10,1
535,10,1
337,11,1
72,12,1
273,12,1
200,13,1
470,13,1
598,13,1
70,14,1
97,14,1
176,14,1
220,14,1
259,14,1
301,14,1
457,14,1
548,14,1
222,15,1
253,15,1
298,15,1
367,15,1
391,15,1
25,16,1
18,17,1
37,17,1
98,17,1
321,17,1
345,17,1
367,17,1
393,17,1
397,17,1
435,17,1
509,17,1
17,18,1
57,18,1
136,18,1
310,18,1
321,18,1
345,18,1
367,18,1
393,18,1
507,18,1
583,18,1
26,19,1
94,19,1
182,19,1
245,19,1
277,19,1
299,19,1
322,19,1
483,19,1
534,19,1
563,19,1
591,19,1
175,20,1
293,20,1
369,20,1
370,20,1
429,20,1
589,20,1
105,21,1
157,21,1
330,21,1
95,22,1
418,22,1
525,22,1
41,24,1
470,24,1
506,24,1
319,25,1
19,26,1
168,26,1
5,27,1
29,27,1
73,27,1
100,27,1
121,27,1
416,27,1
457,27,1
540,27,1
606,27,1
95,28,1
286,28,1
576,28,1
40,29,1
83,29,1
109,29,1
110,29,1
121,29,1
292,29,1
513,29,1
538,29,1
606,29,1
320,31,1
446,31,1
495,31,1
36,33,1
99,33,1
105,33,1
111,33,1
113,33,1
198,33,1
354,33,1
401,33,1
486,33,1
517,33,1
524,33,1
530,33,1
537,33,1
603,33,1
82,34,1
258,34,1
343,34,1
557,34,1
505,35,1
570,35,1
125,36,1
252,36,1
325,36,1
530,36,1
410,37,1
570,37,1
142,39,1
480,39,1
52,40,1
87,40,1
102,40,1
110,40,1
114,40,1
120,40,1
265,40,1
299,40,1
355,40,1
376,40,1
377,40,1
562,40,1
596,40,1
24,41,1
545,41,1
546,41,1
347,42,1
461,42,1
515,42,1
7,43,1
256,43,1
409,43,1
492,43,1
548,43,1
39,45,1
188,45,1
254,45,1
466,45,1
480,45,1
161,46,1
384,46,1
409,46,1
443,46,1
569,46,1
65,47,1
67,47,1
364,47,1
541,47,1
579,47,1
51,49,1
235,49,1
201,50,1
260,50,1
533,50,1
545,50,1
568,50,1
574,50,1
136,51,1
172,51,1
364,51,1
380,51,1
78,52,1
264,52,1
522,52,1
562,52,1
584,52,1
174,53,1
206,53,1
527,53,1
64,54,1
107,54,1
240,54,1
552,54,1
9,55,1
61,55,1
68,55,1
193,55,1
218,55,1
220,55,1
274,55,1
349,55,1
493,55,1
94,56,1
208,56,1
215,56,1
266,56,1
65,57,1
177,57,1
393,57,1
583,57,1
26,58,1
55,58,1
68,58,1
190,58,1
193,58,1
277,58,1
349,58,1
372,58,1
448,58,1
56,59,1
160,59,1
266,59,1
363,59,1
364,59,1
493,59,1
508,59,1
537,59,1
603,59,1
59,60,1
61,60,1
67,60,1
117,60,1
167,60,1
364,60,1
380,60,1
549,60,1
55,61,1
82,61,1
190,61,1
363,61,1
541,61,1
608,61,1
30,62,1
428,62,1
449,62,1
136,63,1
256,63,1
521,63,1
7,64,1
54,64,1
125,64,1
134,64,1
152,64,1
240,64,1
